ཨཱོ o:_⁵⁵
སྣྲོས _n_ø?_⁵⁵
སྣྲོལ _n_øl_⁵⁵
སྣྲོར _n_or_⁵⁵
སྣྲོམས _n_om_⁵⁵
སྣྲོམ _n_om_⁵⁵
སྣྲོབས _n_op_⁵⁵
སྣྲོབ _n_op_⁵⁵
སྣྲོན _n_on_⁵⁵
སྣྲོད _n_ø?_⁵⁵
སྣྲོངས _n_oŋ_⁵⁵
སྣྲོང _n_oŋ_⁵⁵
སྣྲོགས _n_o?_⁵⁵
སྣྲོག _n_o?_⁵⁵
སྣྲོ _n_o_⁵⁵
སྣྲེས _n_ɛ?_⁵⁵
སྣྲེལ _n_el_⁵⁵
སྣྲེར _n_er_⁵⁵
སྣྲེམས _n_em_⁵⁵
སྣྲེམ _n_em_⁵⁵
སྣྲེབས _n_ep_⁵⁵
སྣྲེབ _n_ep_⁵⁵
སྣྲེན _n_en_⁵⁵
སྣྲེད _n_ɛ?_⁵⁵
སྣྲེངས _n_eŋ_⁵⁵
སྣྲེང _n_eŋ_⁵⁵
སྣྲེགས _n_e?_⁵⁵
སྣྲེག _n_e?_⁵⁵
སྣྲེ _n_e_⁵⁵
སྣྲུས _n_ɛ?_⁵⁵
སྣྲུལ _n_ul_⁵⁵
སྣྲུར _n_ur_⁵⁵
སྣྲུམས _n_um_⁵⁵
སྣྲུམ _n_um_⁵⁵
སྣྲུབས _n_up_⁵⁵
སྣྲུབ _n_up_⁵⁵
སྣྲུན _n_un_⁵⁵
སྣྲུད _n_y?_⁵⁵
སྣྲུངས _n_uŋ_⁵⁵
སྣྲུང _n_uŋ_⁵⁵
སྣྲུགས _n_u?_⁵⁵
སྣྲུག _n_u?_⁵⁵
སྣྲུ _n_u_⁵⁵
སྣྲིས _n_i?_⁵⁵
སྣྲིལ _n_il_⁵⁵
སྣྲིར _n_ir_⁵⁵
སྣྲིམས _n_im_⁵⁵
སྣྲིམ _n_im_⁵⁵
སྣྲིབས _n_ip_⁵⁵
སྣྲིབ _n_ip_⁵⁵
སྣྲིན _n_in_⁵⁵
སྣྲིད _n_i?_⁵⁵
སྣྲིངས _n_iŋ_⁵⁵
སྣྲིང _n_iŋ_⁵⁵
སྣྲིགས _n_i?_⁵⁵
སྣྲིག _n_i?_⁵⁵
སྣྲི _n_i_⁵⁵
སྣྲས _n_ɛ?_⁵⁵
སྣྲལ _n_al_⁵⁵
སྣྲར _n_ar_⁵⁵
སྣྲམས _n_am_⁵⁵
སྣྲམ _n_m_⁵⁵
སྣྲབས _n_əp_⁵⁵
སྣྲབ _n_əp_⁵⁵
སྣྲན _n_an_⁵⁵
སྣྲད _n_ɛ?_⁵⁵
སྣྲངས _n_aŋ_⁵⁵
སྣྲང _n_aŋ_⁵⁵
སྣྲགས _n_a?_⁵⁵
སྣྲག _n_a?_⁵⁵
སྣྲ _n_a_⁵⁵
ལྷོཊ _ɬ_o?_⁵⁵
ལཱ _l_a:_¹³
ལའང _l_a:ŋ_¹³
ཟྭས _s_ɛ?_¹³
ཟྭལ _s_al_¹³
ཟྭར _s_ar_¹³
ཟྭམས _s_am_¹³
ཟྭམ _s_am_¹³
ཟྭབས _s_əp_¹³
ཟྭབ _s_əp_¹³
ཟྭན _s_an_¹³
ཟྭད _s_ɛ?_¹³
ཟྭངས _s_aŋ_¹³
ཟྭང _s_aŋ_¹³
ཟྭགས _s_a?_¹³
ཟྭག _s_a?_¹³
ཟྭ _s_a_¹³
ཞཱ _ɕ_a:_¹³
ཙཱ _ts_a:_⁵⁵
མྲོས _m_ø_¹³
མྲོལ _m_ol_¹³
མྲོར _m_or_¹³
མྲོམས _m_om_¹³
མྲོམ _m_om_¹³
མྲོབས _m_op_¹³
མྲོབ _m_op_¹³
མྲོན _m_on_¹³
མྲོད _m_ø?_¹³
མྲོངས _m_oŋ_¹³
མྲོང _m_oŋ_¹³
མྲོགས _m_o?_¹³
མྲོག _m_o?_¹³
མྲོ _m_o_¹³
མྲེས _m_ɛ?_¹³
མྲེལ _m_el_¹³
མྲེར _m_er_¹³
མྲེམས _m_em_¹³
མྲེམ _m_em_¹³
མྲེབས _m_ep_¹³
མྲེབ _m_ep_¹³
མྲེན _m_en_¹³
མྲེད _m_ɛ?_¹³
མྲེངས _m_eŋ_¹³
མྲེང _m_eŋ_¹³
མྲེགས _m_e?_¹³
མྲེག _m_e?_¹³
མྲེ _m_e_¹³
མྲུས _m_y_¹³
མྲུལ _m_ul_¹³
མྲུར _m_ur_¹³
མྲུམས _m_um_¹³
མྲུམ _m_um_¹³
མྲུབས _m_up_¹³
མྲུབ _m_up_¹³
མྲུན _m_un_¹³
མྲུད _m_y_¹³
མྲུངས _m_uŋ_¹³
མྲུང _m_uŋ_¹³
མྲུགས _m_u?_¹³
མྲུག _m_u?_¹³
མྲུ _m_u_¹³
མྲིས _m_i?_¹³
མྲིལ _m_il_¹³
མྲིར _m_ir_¹³
མྲིམས _m_im_¹³
མྲིམ _m_im_¹³
མྲིབས _m_im_¹³
མྲིབ _m_ip_¹³
མྲིན _m_in_¹³
མྲིད _m_i?_¹³
མྲིངས _m_iŋ_¹³
མྲིང _m_iŋ_¹³
མྲིགས _m_i?_¹³
མྲིག _m_i?_¹³
མྲི _m_i_¹³
མྲས _m_ɛ?_¹³
མྲལ _m_al_¹³
མྲར _m_ar_¹³
མྲམས _m_am_¹³
མྲམ _m_am_¹³
མྲབས _m_ap_¹³
མྲབ _m_ap_¹³
མྲན _m_an_¹³
མྲད _m_ɛ?_¹³
མྲངས _m_aŋ_¹³
མྲང _m_aŋ_¹³
མྲགས _m_a?_¹³
མྲག _m_a?_¹³
མྲ _m_a_¹³
མཱ _m_a:_¹³
བྷོ _ph_o_¹³
ཕཱ _ph_a:_⁵⁵
པྱོས _tɕ_ø_⁵⁵
པྱོལ _tɕ_ol_⁵⁵
པྱོར _tɕ_or_⁵⁵
པྱོམས _tɕ_om_⁵⁵
པྱོམ _tɕ_om_⁵⁵
པྱོབས _tɕ_op_⁵⁵
པྱོབ _tɕ_op_⁵⁵
པྱོན _tɕ_on_⁵⁵
པྱོད _tɕ_ø?_⁵⁵
པྱོངས _tɕ_oŋ_⁵⁵
པྱོང _tɕ_oŋ_⁵⁵
པྱོགས _tɕ_o?_⁵⁵
པྱོག _tɕ_o?_⁵⁵
པྱོ _tɕ_o_⁵⁵
པྱེས _tɕ_e?_⁵⁵
པྱེལ _tɕ_el_⁵⁵
པྱེར _tɕ_er_⁵⁵
པྱེམས _tɕ_em_⁵⁵
པྱེམ _tɕ_em_⁵⁵
པྱེབས _tɕ_ep_⁵⁵
པྱེབ _tɕ_ep_⁵⁵
པྱེན _tɕ_en_⁵⁵
པྱེད _tɕ_e?_⁵⁵
པྱེངས _tɕ_eŋ_⁵⁵
པྱེང _tɕ_eŋ_⁵⁵
པྱེགས _tɕ_e?_⁵⁵
པྱེག _tɕ_e?_⁵⁵
པྱེ _tɕ_e_⁵⁵
པྱུས _tɕ_y_⁵⁵
པྱུལ _tɕ_ul_⁵⁵
པྱུར _tɕ_ur_⁵⁵
པྱུམས _tɕ_um_⁵⁵
པྱུམ _tɕ_um_⁵⁵
པྱུབས _tɕ_up_⁵⁵
པྱུབ _tɕ_up_⁵⁵
པྱུན _tɕ_un_⁵⁵
པྱུད _tɕ_y_⁵⁵
པྱུངས _tɕ_uŋ_⁵⁵
པྱུང _tɕ_uŋ_⁵⁵
པྱུགས _tɕ_u?_⁵⁵
པྱུག _tɕ_u?_⁵⁵
པྱུ _tɕ_u_⁵⁵
པྱིས _tɕ_i?_⁵⁵
པྱིལ _tɕ_il_⁵⁵
པྱིར _tɕ_ir_⁵⁵
པྱིམས _tɕ_im_⁵⁵
པྱིམ _tɕ_im_⁵⁵
པྱིབས _tɕ_ip_⁵⁵
པྱིབ _tɕ_ip_⁵⁵
པྱིན _tɕ_in_⁵⁵
པྱིད _tɕ_i?_⁵⁵
པྱིངས _tɕ_iŋ_⁵⁵
པྱིང _tɕ_iŋ_⁵⁵
པྱིགས _tɕ_i?_⁵⁵
པྱིག _tɕ_i?_⁵⁵
པྱི _tɕ_i_⁵⁵
པྱས _tɕ_ɛ?_⁵⁵
པྱལ _tɕ_al_⁵⁵
པྱར _tɕ_ar_⁵⁵
པྱམས _tɕ_am_⁵⁵
པྱམ _tɕ_am_⁵⁵
པྱབས _tɕ_ap_⁵⁵
པྱབ _tɕ_ap_⁵⁵
པྱན _tɕ_an_⁵⁵
པྱད _tɕ_ɛ?_⁵⁵
པྱངས _tɕ_aŋ_⁵⁵
པྱང _tɕ_aŋ_⁵⁵
པྱགས _tɕ_a?_⁵⁵
པྱག _tɕ_a?_⁵⁵
པྱ _tɕ_a_⁵⁵
པྭ _p_a:_⁵⁵
པཱང _p_a:ŋ_⁵⁵
པཱ _p_a:_⁵⁵
ནཱ _n_a:_¹³
ནའང _n_a:ŋ_¹³
དུའང _th_u:ŋ_¹³
དཱ _th_a:_¹³
ཐྲོས _th_ø?_⁵⁵
ཐྲོལ _th_ol_⁵⁵
ཐྲོར _th_or_⁵⁵
ཐྲོམས _th_om_⁵⁵
ཐྲོམ _th_om_⁵⁵
ཐྲོབས _th_op_⁵⁵
ཐྲོབ _th_op_⁵⁵
ཐྲོན _th_on_⁵⁵
ཐྲོད _th_ø?_⁵⁵
ཐྲོངས _th_oŋ_⁵⁵
ཐྲོང _th_oŋ_⁵⁵
ཐྲོགས _th_o?_⁵⁵
ཐྲོག _th_o?_⁵⁵
ཐྲོ _th_o_⁵⁵
ཐྲེས _th_e?_⁵⁵
ཐྲེལ _th_el_⁵⁵
ཐྲེར _th_er_⁵⁵
ཐྲེམས _th_em_⁵⁵
ཐྲེམ _th_em_⁵⁵
ཐྲེབས _th_ep_⁵⁵
ཐྲེབ _th_ep_⁵⁵
ཐྲེན _th_en_⁵⁵
ཐྲེད _th_e?_⁵⁵
ཐྲེངས _th_eŋ_⁵⁵
ཐྲེང _th_eŋ_⁵⁵
ཐྲེགས _th_e?_⁵⁵
ཐྲེག _th_e?_⁵⁵
ཐྲེ _th_e_⁵⁵
ཐྲུས _th_y?_⁵⁵
ཐྲུལ _th_ul_⁵⁵
ཐྲུར _th_ur_⁵⁵
ཐྲུམས _th_um_⁵⁵
ཐྲུམ _th_um_⁵⁵
ཐྲུབས _th_up_⁵⁵
ཐྲུབ _th_up_⁵⁵
ཐྲུན _th_un_⁵⁵
ཐྲུད _th_y?_⁵⁵
ཐྲུངས _th_uŋ_⁵⁵
ཐྲུང _th_uŋ_⁵⁵
